Row Reviewer,Author,Year,Methods,Title,Did they clearly define hotspot?,Hotspot Type,Hot Spot Definition,Types of Orgs,Journal,Lat,Lon,Location,Depth,Summary,Persistence examined?,Drivers Directly Observed,Condensed_obs_drivers,Drivers Suggested,Condensed_ sug_drivers,Notes,Review complete?
Conner,Myers,1988,Review,"Threatened Biotas: ""Hot Spots"" in tropical forests",Y,Diversity & Endemism,"Areas that ""feature exceptional concentrations of species with exceptional levels of endemism, and that, face exceptional degrees of threat.""",plants,The Environmentalist,NA,NA,Global,NA,"THE OG HOT SPOT PAPER. Here, Myers identified 10 areas that had extraordinarily high levels of endemic species under threat from human activity. Myers coined the term hotspot to mean areas that ""feature exceptional concentrations of species with exceptional endemism, and that, face excepetional degrees of threat."" He focused on higher/vasular plants due to a lack of data on animal species. The 10 iconic areas were Madagascar, the Atlantic Coast of Brazil, Western Ecuador, the Colombian Chocó, the Uplands of Western Amazonia, the Eastern Himalayas, Peninsular Malaysia, Northern Borneo, the Philippines, and New Caledonia. Myers then briefly summarized two hotspot areas in the developed world, Hawaii and Queensland, where extinction threats can be much more easily managed due to a greater abundance of conservation resources. He concludes by discussing the importance of protecting these hotspot areas with parks and preserves to mitigate extinction, but acknowledges the ""islandizing effect,"" that delayed fallout may still occur, and that the effects of climate change will disrupt the areas no matter what precautions are taken. ",N,none,none,,,Figure 1 depicts the areas of study.,
Gemma,Cairns & Schneider,1990,"Survey, Acoustics",Hot spots in cold water: Feeding habitat selection by thick-billed murres,Y,Foraging,Areas of higher than average resource density and predator aggregation,seabirds,Studies in Avian Biology,62.355,-78.186,"Hudson Bay, Canada","surface,mid","Examined the foraging distribution of thick-billed Murres off the Nuvuk Islands in Hudson Bay, Canada. Ran visual transects with observers to record murre density and then used an uncalibrated echosounder to map bathymetry (depth and depth gradient) and prey distribution. Over ~1400 surveyed km, found that murres were most concentrated in waters between 40 and 120 m, and postiviely correlated with prey density. Murre abudance was correlated with ebb tide and bottom relief. Suggests that murres rely on vertically predictable aggregations of prey at scales of tens of metres and horizontally predictable aggregations of prey at scales determined by bird energetics (fasting, cost and speed of flight). Murres likely target shallow areas with high bathymetric relief as relatively predictable areas of high quality foraging opportunities.",N,"tide, bathymetry, relative nekton density-distribution, waterflow","circulation, species attributes",,,,Y
Gemma,Booth et al.,2000,Survey,Recruitment of damselfishes in One Tree Island lagoon: persistent interannual spatial patterns,N,Reproduction & Recruitment,Areas of persistently high recruitment,bony fish,Marine Ecology Progress Series,23.508,152.083,Coral Sea (Northeast Australia),demersal,"Assessed recruitment density of a suite of damselfish species in relation to in situ oceanographic conditions in a small lagoon in the southern Great Barrier Reef. Examined recruitment hotspots on continuous and constructed patch reefs, and characterize the habitat that may facilitate recruitment from 1993-1995 and compared these patterns to historical data. The authors ran transect surveys via SCUBA every 2 weeks at 9 sites over the study period, and measured live coral cover, direction of currents near reef edge, and daily wind direction. High recruitment was linked to areas of high larval influx and entrainment by currents, and in general recruitment was higher at the lagoon edges than the center despite similar habitat availability but there was species-specific variability.",N,"currents,wind,distance to ocean, distance to plume, protrusion of surf zone","circulation, distance to physical features",Entrainment of larvae by currents,,,Y
Steph,Verlaque et al.,2001,"Survey, Review","Checklist of macroalgae of Thau Lagoon (Herault, France), a hot spot of marine species introduction in Europe",N,Invasives,Area of high invasive species impact,macroalgae,Oceanologica Acta,43.417,3.636,Mediterranean Sea,demersal,"A combination of a literature review and field sampling for invasive macroalgae in the Mediterranean Sea's Thau Lagoon. The authors performed the fieldwork component in 1994-98 taking samples from over 70 stations in the lagoon. Combining data, the authors found that 45 species were introduced, with the importation of oysters for aquaculture being the primary vector. Only 6 were not observed in the field sampling, and the hard substrates of the lagoon were dominated by the invasives. The authors conlcude that its likely there are more cryptic invasives, and note that Thau Lagoon is one of, if not the, major introdution hot spot.",N,aquaculture,human activity,,,,Y
Dan,Hughes et al.,2002,"Review, Database","Biodiversity hotspots, centres of endemicity, and the conservation of coral reefs",Y,Diversity & Endemism,"Areas of high biodiversity, but not necessarily endemic","coral,bony fish",Ecology Letters,6.839,134.091,Indo-Pacific,demersal,"Looked at the definition of hotspots as it relates to endemism and biodiversity in the classical terrestrial definition with coral reefs in the Central Indo-Pacific. The issue being that many species that makeup the hotspots have wide ranges and occur outside of the hotspot areas, so it is challenging to determine how much hotspots are driven by endemic species with small ranges. The authors approached this question by looking at the contribution of fish and coral to species assemblages at different locations and how range size changes with distance from a hotspot. To do so, they compiled a database of 65 species ranges from the literature. Their results showed overwhelmingly that a majority of species making up these marine hotspots were not endemic. Dispersal mechanisms played a role in pandemicity, with broadcast spawners being found more spread out. The authors also refute Rapoport’s rule, the fact that smaller range sizes occur at lower latitudes, and also found no evidence for smaller range sizes at species richness peaks, another conventional belief. The authors conclude that conservation efforts should shift from protecting biodiversity to protecting connectivity and genetic diversity of wide ranging species as well as proximate areas with relatively higher numbers of endemics. Hotspots were important here because they helped refine understanding of natural rules and paradigms.",N,dispersal mechanisms,species attributes,,,,
Steph,Roberts et al.,2002,Database,Marine biodiversity hotspots and conservation priorities for tropical reefs,Y,Multi-Risk & Threat,Centers of endemism with average threat scores above the top two-thirds of the range of risk from human impacts,"reef fish,mollusks,coral,crustaceans",Science,NA,NA,Global,demersal,"Mapped the distributions of 3235 species in 4 taxa, fishes, corals, snails, and lobsters, around the world. Identified high degrees of overlap in the southern Philipppines and central Indonesia for all taxa. They then examined ranges of geographically restricted species and found high overlap. Data also suggested marine species are not resilient to extinction because of their large ranges. To best protect reefs, the authors suggest a two pronged approach posited by Myers of protecting both hotspots and wilderness areas. Many of the hotspots identified were adjacent to land hotspots, making implementation of protection easier.",N,range size,species attributes,,,,Y
Conner,Worm et al.,2003,"Fishery, Model",Predator diversity hotspots in the blue ocean,Y,Diversity & Endemism,Area where there are concentrations of biodiversity and predators.,"bony fish,cart fish,sea turtles,seabirds,marine mammals",PNAS,25,-160,"Northwest Atlantic, Hawaii, Australia",surface,"One of the first marine hotspot papers. The authors used scientific observer data from long-line fisheries in the US and Australian between 1991-2000, focusing on swordfish fishery in the NW Atlantic and Tuna fisheries in Hawaii and Australia. They also used vessel logbook data to get better size and spatial coverage with the tradeoff of lower taxonomic resolution. Data were binned into 2 degree hexagonal cells and the authors used standard rarefaction techniques to look at species richness and species density. The sample sizes of species richness and density were 50 individuals and 1000 hooks, respectively. To minimize variation in the model they accounted for differences in spatial scale, depths, season, and varied the number of indivuals in the standard sample. Using data from the Northwest Atlantic, a closed area model was constructed to investigate whether hotspot closures were the best conservation method to offset fishery pressure. The model showed that hotspot closure is the best and only option that would result in significant conservation benefits. Hotspots were most common near topographic features like seamounts and shelf breaks, and most concentrated in intermediate latitudes. This relationship was consistent on a global scale. High catch rates were found in areas of low diversity, suggesting hotspots are not high fish production areas. High catches were found at higher latitudes. Closing non-hotspot areas either had a weak effect or actually resulted in harmful reallocation of effort. Overall, these results suggest that fishery effort should be controlled along with hotspot closures. There were similar latitudinal patterns in species diversity across five zooplankton taxa. Overall hotspot patterns suggest overlap with different trophic groups, and that major topographic and oceanographic features may be important factors that concentrate food for top predators. ",N,none,none,"islands, bathymetry, seamounts, eddies, temperature","topography, bathymetry, circulation, temperature",Lat/Long are for Hawaii,
Gemma,Davoren et al.,2003,"Survey, Acoustics",The influence of fish behaviour on search strategies of common murres Uria aalge in the northwest Atlantic,Y,Foraging,Areas where prey was persistently more abundant than average,"bony fish,seabirds",Marine Ornithology,49,-53,Northwest Atlantic (Canada),"surface,demersal","Examined murre density in relation to capelin abudance and distribution around Funk Island, Nova Scotia, Canada using ship acoustics and nets for capelin and visual surveys for murres from 1998-2002. Attempted to answer whether the murres conformed to the central-place foraging model and the information center hypothesis. Also collected biophysical data including zooplankton biomass, temperature and seabed particle size. Found three main areas that were hotspots. In two of the areas, capelin were most dense in deep trenches, while the third they were common along shallow slopes. The sex and maturity ratios of capelin differed between the areas as did murre abundance. Murres did generally seem to follow consistant flight trjaectories to hotspots from the NE-SW, and feeding or sitting murres at sea indicated hospot locations, which likely facillitated local enhancement for other murres. Zooplankton biomass was higher in areas 1 and 3 where temperatures were lower. Many capelin eggs were found in area 2 in coarse sandbed. Area 2 was likely a spawning ground while areas 1 and 3 were either staging or recovery areas. No evidence for the information center hypothesis was observed. Murre return and departure directions were generally inconsistent across time compared to other studies, yet movement corridors at sea were persistent suggesting murres initially depart the colony based on memory and then rely on local enhancement to locate abundant prey. The authors conclude that major disturbances could alter hotspot predictability and these areas should be protected from human-wildlife conflict.",Y,"prey density, temperature, seabed composition","temperature, substrate, species attributes",,,"Rare to have study that specifically defines quantitative threshold for hotspot identification (e.g. ""persistently above average"") and defines timescale of persistence",Y
Gemma,Davoren et al.,2003,"Survey, Acoustics",Search strategies of a pursuit-diving marine bird and the persistence of prey patches,Y,Foraging,Areas where prey was persistently more abundant than average,"bony fish,seabirds",Ecological Monographs,50,-52,Northwest Atlantic (Canada),surface,"Looked at search strategies of murres to find capelin schools on various spatial and temporal scales. Quantified arrival and departure from two rookeries during 3 week chick rearing period off islands in Newfoundland. Conducted vessel based acoustic and visual surveys, binning the bird and capelin abudances. Persistence of a hotspot was defined as the number of times a hot spot contained the target species divided by the number of times it was sampled by the survey. Conducted focal follows and analyzed departure and arrival flight patterns of murres from rookeries. Identified 19 hotspots, 14 of which were able to be revisited during surveys. Several hotspots remained persistent. Significantly higher amount of murres landed in mixed species assemblages in splashdown area, suggesting they were cueing off other species on where to feed. Result suggest murres use memory and local enhancement to locate prey patches as well as information halos in mixed species aggregations. Implications are important for understanding ecosystem dynamics like trophic linkages.",Y,,species attributes,,,Focuses on importance of social information for cueing into prey hotspot locations and creating multi-trophic level aggregations,Y
Gemma,Drazen et al.,2003,"Survey, Acoustics",Aggregations of egg-brooding deep-sea fish and cephalopods on the Gorda Escarpment: A reproductive hotspot,Y,Reproduction & Recruitment,"Localized areas of intense biological activity, specifically spawning and brooding aggregations","bony fish,mollusks",Biological Bulletin,40.405,-124.834,California Current,demersal,"Conduted 15 deep sea ROV dives on the Gorda Escarpment off Northern California and mapped bathy with an EM300. Identified reproductive aggregations (hotspots) of blob sculpin and an octopus. Biomass of the sculpin was equal to averaged total biomass of fishes on the continental slope. Also presented first evidence of parental care in oviparous deep-sea fish. Reasons for these aggregations were hypothesized as suitable rocky substrate, presence of cold seeps aggregating food, sea currents enhancing ventillation of eggs, waste removal, and dispersal of larvae. The area has such high densities of octopus and sculpin that they are likely to impact local foodwebs, and these sites should be considered for protection from trawling and long-lining. It also provides a predictable location for scientists to observe deep-sea reproductive biology.",N,Bathymetry,"temperature, bathymetry, circulation","Substrate, cold seeps that provide food source, ocean currents, habitat heterogeneity",,,Y
Nerea (the paper is blank in the folder),MacLeod (Evans & Miller),2003,Database,Insights into the determination of beaked whale 'hotspots' through the development of a global database,Y,Freq of Occurence,"""Areas where one or more beaked whale species have been regularly recorded at sea, areas which are used during movements between two or more key areas defined in criteria A, areas with a high diversity of beaked whale species, relatively small areas which cover a large portion, or all, of the known range of an individual species or isolated population, areas where human activities are known to have had an impact on beaked whales in the past.""",cetaceans,ECS Active Sonar Workshop,NA,NA,Global,"mid,demersal","Pooled data from multiple sources to generate beaked whale hotspots. Performed QC and then compared hotspots with published and unpublished sources. Identified 22 hotspot areas of varying scale from discrete areas to entire oceans. This is a reflection of the fact that beaked whale research has been done at varying scales with few efforts directly focused on them and the various scales/locations in beaked whale distribution. Because the marine realm is dynamic, hotspots may shift rapidly, so the author argued for consistent monitoring to detect these changes. In addition, they implore that human impacts on these areas need to be determined, and finally, as more data are collected, more hotspots are likely to be identified. To meet these goals, the author advocates for dedicated surveys/projects and to generate predictive distribution models which can in turn help focus survey effort in areas they are likely to occurr.",N,none,none,canyons,bathymetry,,yes
Conner,Malakoff,2004,Review,New tools reveal treasures at ocean hot spots,Y,Abundance/Density,"Biologically rich areas, typically located around fronts, that include congregations of species.",many,Science (Magazine),NA,NA,Global,surface,"A brief overview, in more of a pop science format, of marine hotspots around fronts. Warm and cold water mass collisions form fronts where species congregate. Some studies show that these fronts are highly persistent in creating marine ""meadows"" which could be protected under MPAs while other research says this wouldn't work. Pulls in brief interviews from Boris Worm and Peter Etnoyer. Etnoyer claims the identification of fronts is how we can identify and protect hotspots. Briefly summarizes Etnoyer's marine front edge detection algorithm study where they found the Baja California Frontal System which was shown to attract marine predators such as seabirds, tuna, and whales. Other reseachers have used data like Etnoyer did to reveal these transient features around the world's oceans. Etnoyer recommended the implementation of no fishing zones, and doubted the effectiveness and feasability of dynamic MPAs; he instead suggesting a network of connected reserves and gear restrictions or modifications. The paper concludes by quoting Robert Schick who states that there are a lot of good ideas for spatial ecology on land, but we are just beginning to understand these processes in the marine realm.",Y,fronts,fronts,,,Good paper to reference for the intro,
