"","Type","Category","n","Percentage"
"1","Abundance/Density","Biophysical",73,25.085910652921
"2","Foraging","Biophysical",37,12.7147766323024
"3","Habitat","Biophysical",27,9.27835051546392
"4","Diversity & Endemism","Biophysical",23,7.90378006872852
"5","Nutrients & Biogeochemical-Cycling","Biophysical",23,7.90378006872852
"6","Reproduction & Recruitment","Biophysical",9,3.09278350515464
"7","Mortality","Biophysical",6,2.06185567010309
"8","Fisheries & Bycatch","Ecoimpact",24,8.24742268041237
"9","Multi-Risk & Threat","Ecoimpact",20,6.87285223367698
"10","Invasives","Ecoimpact",14,4.81099656357388
"11","Warming","Ecoimpact",14,4.81099656357388
"12","Bioaccumulation","Ecoimpact",9,3.09278350515464
"13","Eutrophication & Acidification","Ecoimpact",4,1.3745704467354
"14","Pollution","Anthropogenic",8,2.74914089347079
